,Noise_Type,Kurtosis_Wiener_R,Kurtosis_Wiener_G,Kurtosis_Wiener_B,Kurtosis_Median_R,Kurtosis_Median_G,Kurtosis_Median_B,Skewness_Wiener_R,Skewness_Wiener_G,Skewness_Wiener_B,Skewness_Median_R,Skewness_Median_G,Skewness_Median_B
202,1,7752.452984275912,2230.298430815376,1730.1259433368216,-1.9582122688847756,-1.9622333614644911,-1.9638200919172775,28.79227091299391,-10.794509546682832,-0.6964941522971456,0.17508129117304636,0.16278211461609451,0.1586340313328434
203,3,26112.9374508524,1618.223160691589,4759.366059946269,-1.9545840710695475,-1.487577518737587,-1.965605893446071,119.72625647254064,-8.586866239183268,-31.065361864658467,0.17462363088787894,0.6957641344368682,0.13876457569050693
204,0,186.07830547082935,162.41245052586055,2444.4187777162147,-0.6553628057187577,-0.6351365570703709,-0.7502311327474693,10.490876125452987,9.970354805215354,28.84802564413015,1.1593362384613966,1.1680209947278972,1.1176640461350864
205,1,174.5919119593787,286.29453254814854,12728.857988552983,-1.9582243966397268,-1.9708648418549022,-1.9597373351441756,6.27168994452904,8.58760190681835,-61.570773418363245,0.17539106614284242,0.13504705959383406,0.1706163387436298
206,3,711.17442586312,155.3086685131294,47863.72900307924,-1.9526380777923567,7.127437699912715,-1.9543529344647068,12.575510125049036,5.574091502534524,188.9471271439654,0.18001426573749915,-2.9449378867311986,0.17487383160731362
207,0,179.59873948843745,,451.80939067759493,-0.8205752585083101,-0.7729312756716862,-0.8990166375191424,2.8397736253263712,,7.336180940506317,1.0855757938904402,1.1073051475929314,1.0488182646064266
208,1,29609.731486580906,78395.00001275529,13193.523613668001,-1.973418989693158,-1.9626411237946733,-1.9744628552660801,-156.78315550200693,279.99464282867126,1.320483639198011,0.1249756631486457,0.16164370841122655,0.1198096489310516
209,3,71902.54424846607,32473.869069719378,5333.3494143679845,-1.9658946724343636,-1.6513084876715427,-1.9644878680283613,264.5361170629043,67.82536726929222,-22.759376320728858,0.13990500802637373,0.532283244066519,0.1429696363126159
210,0,88.68292537718504,99.29037425652052,102.00611342523098,-1.0364295121805642,-0.9983765766814816,-1.053081643590517,7.272404515987001,8.35144046045007,8.64822563368873,0.9812603684451455,1.000478233785523,0.972746089981738
211,1,28.200441879172185,29.720835837379354,25.505310080457463,-1.9654867032148722,-1.9684963443369503,-1.9671796836729718,1.2464282750499964,1.4586349966275,1.3017252704829256,0.15245885195232997,0.14179454557139237,0.14698583298878604
212,3,85.99452391309241,59.05193596623662,32.40938151786589,-1.9644146852566482,-0.968242977045088,-1.9607880849947945,3.43557829596624,3.0330237339519472,1.9386376714082454,0.1428317755173146,0.9995141377302235,0.1550102893368367
213,0,90.04648261535857,91.17872142182885,103.28018143367785,-1.097363693177115,-1.0922227086257437,-1.1388084996623666,8.519909971186841,8.539604155445721,8.609149078547558,0.949750971118736,0.9524578674425864,0.9276708081278164
